iter	Passed	Remaining
0	203	203566
1	204	102203
2	205	68384
3	206	51483
4	207	41326
5	208	34556
6	209	29709
7	210	26077
8	211	23266
9	212	21007
10	213	19209
11	214	17697
12	215	16393
13	216	15279
14	217	14308
15	218	13456
16	219	12707
17	220	12041
18	221	11443
19	222	10904
20	223	10415
21	224	9971
22	225	9582
23	226	9220
24	227	8884
25	228	8564
26	229	8270
27	230	7997
28	231	7746
29	232	7508
30	233	7288
31	234	7079
32	234	6882
33	235	6699
34	236	6525
35	237	6363
36	238	6213
37	239	6068
38	241	5951
39	242	5827
40	243	5701
41	244	5580
42	245	5463
43	246	5355
44	247	5251
45	248	5151
46	249	5056
47	250	4971
48	251	4881
49	253	4822
50	255	4761
51	256	4683
52	257	4608
53	258	4534
54	259	4462
55	260	4392
56	261	4324
57	262	4258
58	263	4196
59	264	4136
60	264	4077
61	265	4022
62	267	3972
63	268	3920
64	269	3880
65	270	3834
66	271	3786
67	272	3739
68	273	3692
69	274	3646
70	275	3608
71	276	3567
72	277	3525
73	278	3485
74	279	3445
75	280	3407
76	281	3370
77	282	3337
78	284	3319
79	285	3284
80	286	3252
81	287	3219
82	288	3182
83	288	3151
84	289	3119
85	290	3089
86	291	3061
87	292	3032
88	294	3009
89	294	2981
90	296	2959
91	298	2945
92	299	2921
93	300	2895
94	301	2869
95	302	2844
96	302	2819
97	303	2796
98	304	2772
99	305	2749
100	306	2727
101	307	2704
102	308	2684
103	309	2664
104	311	2652
105	312	2636
106	313	2620
107	314	2601
108	315	2582
109	316	2563
110	317	2544
111	318	2526
112	319	2508
113	320	2489
114	321	2471
115	322	2454
116	323	2437
117	324	2421
118	326	2416
119	327	2402
120	328	2386
121	329	2369
122	330	2353
123	330	2337
124	331	2321
125	332	2306
126	333	2290
127	334	2277
128	335	2264
129	336	2250
130	337	2236
131	337	2222
132	339	2210
133	340	2199
134	341	2190
135	342	2178
136	343	2166
137	344	2154
138	345	2141
139	346	2129
140	347	2117
141	348	2103
142	348	2091
143	349	2079
144	350	2067
145	351	2056
146	352	2045
147	354	2037
148	356	2035
149	357	2026
150	358	2014
151	359	2004
152	360	1994
153	361	1984
154	362	1973
155	362	1963
156	363	1952
157	364	1942
158	365	1932
159	366	1923
160	366	1911
161	367	1902
162	368	1894
163	370	1887
164	371	1879
165	372	1871
166	373	1863
167	374	1854
168	375	1846
169	376	1837
170	377	1828
171	378	1819
172	378	1811
173	379	1803
174	380	1794
175	381	1786
176	382	1779
177	383	1770
178	384	1764
179	385	1756
180	386	1750
181	387	1742
182	388	1735
183	389	1727
184	390	1719
185	391	1712
186	392	1704
187	393	1697
188	393	1689
189	394	1682
190	395	1676
191	396	1668
192	397	1664
193	399	1659
194	401	1656
195	402	1650
196	403	1644
197	404	1638
198	405	1631
199	406	1625
200	407	1618
201	407	1611
202	408	1604
203	409	1597
204	410	1591
205	411	1585
206	412	1580
207	413	1575
208	415	1571
209	416	1565
210	417	1560
211	418	1554
212	419	1548
213	420	1542
214	420	1536
215	421	1530
216	422	1524
217	423	1518
218	424	1512
219	425	1507
220	426	1501
221	427	1497
222	428	1492
223	429	1489
224	430	1484
225	431	1479
226	432	1474
227	433	1468
228	434	1463
229	435	1458
230	436	1452
231	437	1447
232	438	1442
233	438	1436
234	439	1431
235	440	1426
236	441	1422
237	442	1418
238	444	1415
239	445	1411
240	446	1407
241	447	1402
242	448	1397
243	449	1392
244	450	1387
245	451	1382
246	451	1377
247	452	1373
248	453	1368
249	454	1363
250	456	1361
251	458	1360
252	459	1356
253	460	1351
254	461	1347
255	462	1343
256	463	1338
257	463	1334
258	464	1329
259	465	1325
260	466	1320
261	467	1316
262	468	1312
263	469	1307
264	471	1306
265	472	1303
266	473	1300
267	474	1296
268	475	1292
269	476	1288
270	477	1284
271	478	1280
272	479	1276
273	480	1272
274	480	1267
275	481	1263
276	482	1259
277	483	1255
278	484	1252
279	487	1254
280	488	1250
281	490	1247
282	491	1244
283	492	1240
284	493	1237
285	494	1233
286	495	1229
287	495	1225
288	496	1222
289	497	1218
290	498	1214
291	500	1212
292	501	1211
293	503	1208
294	504	1205
295	505	1201
296	506	1198
297	507	1194
298	507	1190
299	508	1187
300	509	1183
301	510	1180
302	511	1176
303	512	1173
304	513	1170
305	514	1167
306	516	1165
307	517	1162
308	518	1159
309	519	1156
310	520	1152
311	521	1149
312	522	1145
313	523	1143
314	524	1139
315	525	1137
316	526	1133
317	527	1130
318	528	1127
319	529	1125
320	530	1123
321	532	1120
322	533	1117
323	533	1114
324	535	1111
325	536	1108
326	537	1105
327	538	1102
328	538	1099
329	539	1095
330	540	1092
331	541	1089
332	542	1086
333	545	1087
334	546	1085
335	548	1083
336	549	1080
337	550	1077
338	550	1074
339	551	1071
340	552	1067
341	553	1064
342	554	1062
343	555	1059
344	556	1056
345	557	1054
346	559	1052
347	560	1049
348	561	1046
349	562	1043
350	562	1040
351	563	1037
352	564	1035
353	565	1032
354	566	1029
355	567	1026
356	568	1023
357	569	1020
358	570	1018
359	571	1015
360	572	1013
361	573	1010
362	574	1007
363	575	1005
364	576	1002
365	576	999
366	577	996
367	578	994
368	579	991
369	580	988
370	581	985
371	582	983
372	583	980
373	584	977
374	585	975
375	586	972
376	586	969
377	587	967
378	588	964
379	589	962
380	590	959
381	591	957
382	592	954
383	593	951
384	594	949
385	595	946
386	596	944
387	597	942
388	598	939
389	599	937
390	600	934
391	601	932
392	602	930
393	603	927
394	604	925
395	604	922
396	605	920
397	606	917
398	607	915
399	608	912
400	609	910
401	610	908
402	611	905
403	612	903
